testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,EAKF,0.5,0.01,0.026000000000000002,2.140889822057171,
True,L63+time,EAKF,0.5,0.01,0.027,2.534459638049579,
True,L63+time,EAKF,0.5,0.01,0.027,2.4477637887299424,
True,L63+time,EAKF,0.5,0.01,0.027,2.368613697372576,
True,L63+time,EAKF,0.5,0.01,0.028,2.406781818614761,
True,L63+time,EAKF,0.5,0.01,0.028,2.109804971448768,
True,L63+time,EAKF,0.5,0.01,0.028,2.310123433215272,
True,L63+time,EAKF,0.5,0.01,0.029,2.7322971605849244,
True,L63+time,EAKF,0.5,0.01,0.029,2.492143159054208,
True,L63+time,EAKF,0.5,0.01,0.029,2.8860716267819986,
True,L63+time,EAKF,0.5,0.01,0.03,2.6734766478243057,
True,L63+time,EAKF,0.5,0.01,0.03,2.949633588156695,
True,L63+time,EAKF,0.5,0.01,0.03,3.042595541453731,
True,L63+time,EAKF,0.5,0.01,0.031,2.4636344369785714,
True,L63+time,EAKF,0.5,0.01,0.031,2.7337964174829583,
True,L63+time,EAKF,0.5,0.01,0.031,2.430034088997267,
True,L63+time,EAKF,0.5,0.01,0.032,2.8985191078965036,
True,L63+time,EAKF,0.5,0.01,0.032,2.7976111248572133,
True,L63+time,EAKF,0.5,0.01,0.032,3.5678806320596257,
True,L63+time,EAKF,0.5,0.01,0.033,3.6401743336583285,
True,L63+time,EAKF,0.5,0.01,0.033,2.998035996000206,
True,L63+time,EAKF,0.5,0.01,0.033,2.73980679160904,
True,L63+time,EAKF,0.5,0.01,0.034,3.442204714023711,
True,L63+time,EAKF,0.5,0.01,0.034,2.837277050571851,
True,L63+time,EAKF,0.5,0.01,0.034,3.4363328740237504,
True,L63+time,EAKF,0.5,0.01,0.035,2.8864902893760225,
True,L63+time,EAKF,0.5,0.01,0.035,3.342482522723909,
True,L63+time,EAKF,0.5,0.01,0.035,3.170729241939846,
True,L63+time,EAKF,0.5,0.01,0.036000000000000004,4.014521228391094,
True,L63+time,EAKF,0.5,0.01,0.036000000000000004,3.951692248657022,
True,L63+time,EAKF,0.5,0.01,0.036000000000000004,3.609894236155635,
True,L63+time,EAKF,0.5,0.01,0.037,3.4737336784076294,
True,L63+time,EAKF,0.5,0.01,0.037,2.9550986037948537,
True,L63+time,EAKF,0.5,0.01,0.037,3.190824816946376,
True,L63+time,EAKF,0.5,0.01,0.038,3.502156922548013,
True,L63+time,EAKF,0.5,0.01,0.038,3.5124132396958547,
True,L63+time,EAKF,0.5,0.01,0.038,3.16658765915135,
True,L63+time,EAKF,0.5,0.01,0.039,4.312186418931492,
True,L63+time,EAKF,0.5,0.01,0.039,4.0872971975473575,
True,L63+time,EAKF,0.5,0.01,0.039,3.5034633628105545,
True,L63+time,EAKF,0.5,0.01,0.04,3.798423599278189,
True,L63+time,EAKF,0.5,0.01,0.04,3.5212989739646945,
True,L63+time,EAKF,0.5,0.01,0.04,3.685162175513704,
True,L63+time,EAKF,0.5,0.01,0.041,3.4832492722959927,
True,L63+time,EAKF,0.5,0.01,0.041,3.880847580476585,
True,L63+time,EAKF,0.5,0.01,0.041,4.375027496950067,
True,L63+time,EAKF,0.5,0.01,0.042,3.8901580975924235,
True,L63+time,EAKF,0.5,0.01,0.042,4.845974620057272,
True,L63+time,EAKF,0.5,0.01,0.042,3.9818426144633365,
True,L63+time,EAKF,0.5,0.01,0.043000000000000003,3.635078881060973,
True,L63+time,EAKF,0.5,0.01,0.043000000000000003,4.353123617360786,
True,L63+time,EAKF,0.5,0.01,0.043000000000000003,3.846728108235508,
True,L63+time,EAKF,0.5,0.01,0.044,4.705208097796637,
True,L63+time,EAKF,0.5,0.01,0.044,4.672857703139061,
True,L63+time,EAKF,0.5,0.01,0.044,3.4588227047412947,
